Classifier Name,Dataset,Balance,Num Training Samples,Num Non-Healthy Companies,TP,TN,FP,FN,F1 Score,AUC ROC
Linear Discriminant Analysis_lsqr_auto,Train,Balanced,558,186,105,337,35,81,0.6441717791411045,0.7352150537634409
Linear Discriminant Analysis_lsqr_auto,Test,Balanced,2679,62,30,2349,268,32,0.16666666666666669,0.6907318155484612
Linear Discriminant Analysis_lsqr_auto,Train,Balanced,558,186,94,329,43,92,0.5820433436532508,0.6948924731182795
Linear Discriminant Analysis_lsqr_auto,Test,Balanced,2679,62,33,2359,258,29,0.18696883852691215,0.7168359485744573
Linear Discriminant Analysis_lsqr_auto,Train,Balanced,558,186,105,331,41,81,0.6325301204819278,0.7271505376344085
Linear Discriminant Analysis_lsqr_auto,Test,Balanced,2679,62,34,2212,405,28,0.13572854291417166,0.6968148705116669
Linear Discriminant Analysis_lsqr_auto,Train,Balanced,558,186,105,331,41,81,0.6325301204819278,0.7271505376344085
Linear Discriminant Analysis_lsqr_auto,Test,Balanced,2679,62,36,2318,299,26,0.18136020151133503,0.7331960999420661
Logistic Regression_max_iter_1000,Train,Balanced,558,186,93,331,41,93,0.58125,0.6948924731182796
Logistic Regression_max_iter_1000,Test,Balanced,2679,62,24,2420,197,38,0.1696113074204947,0.655909869710454
Logistic Regression_max_iter_1000,Train,Balanced,558,186,99,336,36,87,0.6168224299065419,0.7177419354838709
Logistic Regression_max_iter_1000,Test,Balanced,2679,62,35,2295,322,27,0.16706443914081145,0.720737239143565
Logistic Regression_max_iter_1000,Train,Balanced,558,186,99,333,39,87,0.6111111111111109,0.7137096774193549
Logistic Regression_max_iter_1000,Test,Balanced,2679,62,33,2266,351,29,0.14798206278026907,0.699067511432692
Logistic Regression_max_iter_1000,Train,Balanced,558,186,97,338,34,89,0.61198738170347,0.7150537634408601
Logistic Regression_max_iter_1000,Test,Balanced,2679,62,35,2366,251,27,0.20114942528735633,0.7343023900797514
Logistic Regression_max_iter_500,Train,Balanced,558,186,104,335,37,82,0.636085626911315,0.7298387096774193
Logistic Regression_max_iter_500,Test,Balanced,2679,62,26,2368,249,36,0.1543026706231454,0.6621038618462411
